"uid","namedLocation","domainID","siteID","plotID","plotType","pointID","startDate","boutNumber","eventID","pointCountMinute","targetTaxaPresent","taxonID","scientificName","taxonRank","vernacularName","family","nativeStatusCode","observerDistance","detectionMethod","visualConfirmation","sexOrAge","clusterSize","clusterCode","identifiedBy","identificationHistoryID"
"3008b255-8b2f-4591-92d9-807d448e82be","BART_025.birdGrid.brd","D01","BART","BART_025","distributed",9,"2015-06-14T13:30Z",1,"BRD.BART.2015.1",1,"Y","BAWW","Mniotilta varia","species","Black-and-white Warbler","Parulidae","N",21,"singing","No","Male",1,"","JRUEB",NA
"a09f8c51-2cb5-48f5-9649-ae60b248a278","BART_025.birdGrid.brd","D01","BART","BART_025","distributed",9,"2015-06-14T13:30Z",1,"BRD.BART.2015.1",5,"Y","YRWA","Setophaga coronata","species","Yellow-rumped Warbler","Parulidae","N",44,"singing","No","Male",1,"","JRUEB",NA
"b2a6f74b-8c36-4f71-b26c-35e6ca89d15a","BART_025.birdGrid.brd","D01","BART","BART_025","distributed",9,"2015-06-14T13:30Z",1,"BRD.BART.2015.1",1,"Y","OVEN","Seiurus aurocapilla","species","Ovenbird","Parulidae","N",41,"singing","No","Male",1,"","JRUEB",NA
"6c21002e-9bf2-4c1e-aac5-c7cb71b60ca8","BART_025.birdGrid.brd","D01","BART","BART_025","distributed",9,"2015-06-14T13:30Z",1,"BRD.BART.2015.1",4,"Y","HETH","Catharus guttatus","species","Hermit Thrush","Turdidae","N",32,"singing","No","Male",1,"","JRUEB",NA
"606694af-cfd8-416b-89a3-3eff0e90090b","BART_025.birdGrid.brd","D01","BART","BART_025","distributed",9,"2015-06-14T13:30Z",1,"BRD.BART.2015.1",1,"Y","REVI","Vireo olivaceus","species","Red-eyed Vireo","Vireonidae","N",53,"singing","No","Male",1,"","JRUEB",NA
"e4856495-495d-49ed-830f-3ad0d5fbaf6e","BART_025.birdGrid.brd","D01","BART","BART_025","distributed",9,"2015-06-14T13:30Z",1,"BRD.BART.2015.1",1,"Y","RBWO","Melanerpes carolinus","species","Red-bellied Woodpecker","Picidae","N",19,"calling","No","Unknown",1,"","JRUEB",NA
"e249dcf2-5fa8-4225-9186-deca25b35490","BART_082.birdGrid.brd","D01","BART","BART_082","distributed",5,"2015-06-16T09:02Z",1,"BRD.BART.2015.1",1,"Y","REVI","Vireo olivaceus","species","Red-eyed Vireo","Vireonidae","N",28,"singing","No","Male",1,"","JRUEB",NA
"dfd9df00-bb02-4cc8-9dbb-73cef8f95b49","BART_082.birdGrid.brd","D01","BART","BART_082","distributed",5,"2015-06-16T09:02Z",1,"BRD.BART.2015.1",1,"Y","BLBW","Setophaga fusca","species","Blackburnian Warbler","Parulidae","N",32,"singing","No","Male",1,"","JRUEB",NA
"f4db0dc5-9cc2-469c-b79f-5899bc7d8ce4","BART_082.birdGrid.brd","D01","BART","BART_082","distributed",5,"2015-06-16T09:02Z",1,"BRD.BART.2015.1",1,"Y","WIWR","Troglodytes hiemalis","species","Winter Wren","Troglodytidae","UNK",47,"singing","No","Male",1,"","JRUEB",NA
"156e1cb9-ee2f-41f7-84f7-b84df495e084","BART_082.birdGrid.brd","D01","BART","BART_082","distributed",5,"2015-06-16T09:02Z",1,"BRD.BART.2015.1",1,"Y","BAWW","Mniotilta varia","species","Black-and-white Warbler","Parulidae","N",25,"singing","No","Male",1,"","JRUEB",NA
